experiment,seed,window,accuracy,alert_level,cosine_drift,max_jsd,max_wasserstein
Covariate,12,6,0.8316953316953317,warning,0.0004125237464904785,0.003932959382662086,0.04768800491926306
Covariate,12,7,0.8501228501228502,warning,0.0004456639289855957,0.0028508948717392334,0.05907919925136405
Covariate,12,8,0.8525798525798526,warning,0.0002123117446899414,0.0037545366950459446,0.04849431811196708
Covariate,12,9,0.8447993447993448,warning,0.0003313422203063965,0.0027848348731252916,0.05680234172727751
Covariate,12,10,0.8480753480753481,warning,0.0015198588371276855,0.08041548393768261,0.26267257024244
Covariate,12,11,0.8292383292383292,warning,0.0008143186569213867,0.07721982768368968,0.24115216383046145
Covariate,12,12,0.846027846027846,critical,0.0009142756462097168,0.08316990166352074,0.2599132736875671
Covariate,12,13,0.8443898443898444,critical,0.0013295412063598633,0.08193436819487479,0.2317811902452627
Covariate,12,14,0.8321048321048321,critical,0.0009000897407531738,0.07793342882856683,0.2503479857578709
Covariate,12,15,0.8292383292383292,critical,0.0013279318809509277,0.09556840693546143,0.5409762338986824
Covariate,12,16,0.8206388206388207,critical,0.001477062702178955,0.09198360583169081,0.5681093950153628
Covariate,12,17,0.8271908271908271,critical,0.0011811256408691406,0.09152421903921751,0.5450999601800844
Covariate,12,18,0.8378378378378378,critical,0.001833498477935791,0.08997208057567851,0.5182824230961904
Covariate,12,19,0.8363338788870703,critical,0.0014339685440063477,0.09119098892840047,0.5540015414767473
Covariate,13,1,0.8345618345618345,ok,0.00034940242767333984,0.004013505665610784,0.05580153312960475
Covariate,13,2,0.8435708435708436,ok,0.00021219253540039062,0.0028126836282730133,0.04392467194430747
Covariate,13,3,0.8472563472563472,ok,0.00026667118072509766,0.0031388893257437043,0.052114836283636036
Covariate,13,4,0.8497133497133497,warning,0.0008828639984130859,0.0028559842573268102,0.0821869185752708
Covariate,13,5,0.855036855036855,warning,0.0004717111587524414,0.003599420066471437,0.049978850007155025
Covariate,13,6,0.8488943488943489,warning,0.00033408403396606445,0.0037415956556617978,0.04510450488017233
Covariate,13,7,0.8546273546273546,ok,0.0001932382583618164,0.0024230385955365348,0.0407563260457815
Covariate,13,8,0.8624078624078624,ok,0.00036156177520751953,0.003662167258947117,0.05628416839419552
Covariate,13,9,0.8472563472563472,ok,0.0004004240036010742,0.0032076094559504043,0.05280457043352505
Covariate,13,10,0.846027846027846,warning,0.0018674731254577637,0.045570169080612045,0.21671321480993577
Covariate,13,11,0.8251433251433251,warning,0.0022578835487365723,0.042568927124070996,0.21982387421286745
Covariate,13,12,0.8525798525798526,critical,0.0005412697792053223,0.042386603429899014,0.20242507903907034
Covariate,13,13,0.8484848484848485,critical,0.0015295743942260742,0.042927197387342145,0.23434027848163821
Covariate,13,14,0.8542178542178542,critical,0.0008649230003356934,0.04413749116490471,0.2024749115529054
Covariate,13,15,0.8509418509418509,critical,0.0024254918098449707,0.14249380682891688,0.46225626427387256
Covariate,13,16,0.8497133497133497,critical,0.0027347803115844727,0.1316080564249539,0.47415928834573556
Covariate,13,17,0.8447993447993448,critical,0.0030727386474609375,0.12378307344195728,0.4956031595388226
Covariate,13,18,0.8505323505323505,critical,0.0020816922187805176,0.12405304614642207,0.44152361142042335
Covariate,13,19,0.8363338788870703,critical,0.0025706887245178223,0.11878106416375517,0.45233028603044734
Covariate,14,1,0.8505323505323505,ok,0.00047266483306884766,0.003551777984964228,0.044629114189815515
Covariate,14,2,0.8501228501228502,ok,0.0002849698066711426,0.0029181295035346647,0.03961583617579103
Covariate,14,3,0.8366093366093366,ok,0.0003339052200317383,0.0025479040639177124,0.054936414899177305
Covariate,14,4,0.8546273546273546,ok,0.00017511844635009766,0.002775693282781191,0.039016420827884105
Covariate,14,5,0.8402948402948403,ok,0.00010788440704345703,0.002936139363235284,0.028222360186563954
Covariate,14,6,0.8464373464373465,ok,7.456541061401367e-05,0.0028480378192668404,0.042504282390590474
Covariate,14,7,0.8648648648648649,ok,0.00020635128021240234,0.002554373141805391,0.04680354986487591
Covariate,14,8,0.8505323505323505,ok,0.0003083944320678711,0.002272519170684442,0.04786043467422644
Covariate,14,9,0.8357903357903358,ok,0.00020927190780639648,0.003192319361755646,0.0429996826394712
Covariate,14,10,0.8366093366093366,warning,0.0006242990493774414,0.03815899450009472,0.2344433440586018
Covariate,14,11,0.8394758394758395,warning,0.0004317760467529297,0.03858189952306954,0.23093504099225198
Covariate,14,12,0.8407043407043407,critical,0.0008180141448974609,0.04035922602148191,0.24436045484129906
Covariate,14,13,0.8415233415233415,critical,0.001021742820739746,0.036259452944425216,0.24117062790742885
Covariate,14,14,0.8407043407043407,critical,0.0006132721900939941,0.040944988653455555,0.2517025359107581
Covariate,14,15,0.8308763308763308,critical,0.0009335875511169434,0.08615420226297087,0.44904623733800836
