experiment,window,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,cosine_drift_mean,max_jsd_mean,alert_rate
Concept (class-cond),6,0.839148239148239,0.8361217218913184,0.8421747564051596,0.0003754806518554688,0.0032194225147733966,0.88
Concept (class-cond),7,0.8315806715806715,0.828036836253676,0.835124506907667,0.00036402702331542967,0.003338165367853446,0.92
Concept (class-cond),8,0.8226863226863229,0.8203375278779285,0.8250351174947174,0.0003901052474975586,0.003159531063754705,0.92
Concept (class-cond),9,0.8112530712530712,0.8081673732503665,0.814338769255776,0.0004350805282592773,0.003261246095677077,1.0
Concept (class-cond),10,0.8052907452907454,0.8021991884405727,0.8083823021409181,0.00043012619018554686,0.003429193200896849,1.0
Concept (class-cond),11,0.7925634725634724,0.7891662644293594,0.7959606806975853,0.00048404455184936524,0.0031692498134827936,1.0
Concept (class-cond),12,0.7841277641277642,0.7803709090981624,0.787884619157366,0.0003230428695678711,0.00327320853364804,0.92
Concept (class-cond),13,0.7768386568386567,0.772635849068611,0.7810414646087024,0.00046858310699462893,0.003213704791590933,0.92
Concept (class-cond),14,0.764848484848485,0.7611047720870088,0.7685921976099612,0.00039309024810791016,0.0031802815476747004,0.84
Concept (class-cond),15,0.7584766584766587,0.7552215754769527,0.7617317414763647,0.00033544301986694337,0.003159668305354904,0.92
Concept (class-cond),16,0.7483538083538083,0.7443453861433139,0.7523622305643026,0.00042583942413330076,0.003076960775949721,0.88
Concept (class-cond),17,0.737985257985258,0.7341366737900754,0.7418338421804407,0.0003394865989685059,0.003308144574393944,0.92
Concept (class-cond),18,0.7346928746928748,0.7292971758662782,0.7400885735194714,0.0004004192352294922,0.003210028760489546,0.96
Concept (class-cond),19,0.7264157119476269,0.7218615732747049,0.7309698506205489,0.0003560948371887207,0.003232988919172034,0.92
Rotation (pooled),1,0.8473546273546273,0.843666662234034,0.8510425924752206,0.00039928674697875977,0.0031828291344023056,0.0
Rotation (pooled),2,0.8495495495495498,0.8463512863734481,0.8527478127256514,0.00043334722518920896,0.0031165947068190693,0.0
Rotation (pooled),3,0.843963963963964,0.8413734285117291,0.8465544994161989,0.00032042264938354493,0.0032434778953802984,0.08
Rotation (pooled),4,0.8538574938574938,0.851248257373812,0.8564667303411755,0.00043140411376953126,0.00310604901217903,0.36
Rotation (pooled),5,0.8506306306306307,0.847703584689734,0.8535576765715275,0.0003181171417236328,0.0030547235516260886,0.4
Rotation (pooled),6,0.8308763308763305,0.8277732890119209,0.8339793727407401,0.0003754806518554688,0.0032194225147733966,0.56
Rotation (pooled),7,0.8145454545454547,0.811523535234203,0.8175673738567064,0.00036402702331542967,0.003338165367853446,0.52
Rotation (pooled),8,0.7959705159705162,0.7933295518282005,0.7986114801128318,0.0003901052474975586,0.003159531063754705,0.56
Rotation (pooled),9,0.7763800163800165,0.7736210402333848,0.7791389925266482,0.0004350805282592773,0.003261246095677077,0.64
Rotation (pooled),10,0.7571498771498771,0.7536070632250328,0.7606926910747215,0.00043012619018554686,0.003429193200896849,0.72
Rotation (pooled),11,0.7394758394758394,0.7361004566801411,0.7428512222715377,0.00048404455184936524,0.0031692498134827936,0.68
Rotation (pooled),12,0.7244717444717444,0.7217454280947231,0.7271980608487658,0.0003230428695678711,0.00327320853364804,0.44
Rotation (pooled),13,0.7045700245700246,0.7004892053198778,0.7086508438201714,0.00046858310699462893,0.003213704791590933,0.56
Rotation (pooled),14,0.6837018837018838,0.6799316417029807,0.6874721257007869,0.00039309024810791016,0.0031802815476747004,0.48
Rotation (pooled),15,0.6682391482391483,0.6650988540771396,0.671379442401157,0.00033544301986694337,0.003159668305354904,0.48
Rotation (pooled),16,0.6385913185913186,0.6334552133911416,0.6437274237914955,0.00042583942413330076,0.003076960775949721,0.44
Rotation (pooled),17,0.6138083538083536,0.6075524180245055,0.6200642895922017,0.0003394865989685059,0.003308144574393944,0.44
Rotation (pooled),18,0.5947911547911547,0.5895087757385097,0.6000735338437998,0.0004004192352294922,0.003210028760489546,0.56
Rotation (pooled),19,0.7264157119476269,0.7218615732747049,0.7309698506205489,0.0003560948371887207,0.003232988919172034,0.6
Rotation (class-cond),1,0.8473546273546273,0.843666662234034,0.8510425924752206,0.00039928674697875977,0.0031828291344023056,0.0
Rotation (class-cond),2,0.8495495495495498,0.8463512863734481,0.8527478127256514,0.00043334722518920896,0.0031165947068190693,0.0
Rotation (class-cond),3,0.843963963963964,0.8413734285117291,0.8465544994161989,0.00032042264938354493,0.0032434778953802984,0.16
Rotation (class-cond),4,0.8538574938574938,0.851248257373812,0.8564667303411755,0.00043140411376953126,0.00310604901217903,0.48
Rotation (class-cond),5,0.8506306306306307,0.847703584689734,0.8535576765715275,0.0003181171417236328,0.0030547235516260886,0.72
Rotation (class-cond),6,0.8308763308763305,0.8277732890119209,0.8339793727407401,0.0003754806518554688,0.0032194225147733966,0.88
Rotation (class-cond),7,0.8145454545454547,0.811523535234203,0.8175673738567064,0.00036402702331542967,0.003338165367853446,0.92
Rotation (class-cond),8,0.7959705159705162,0.7933295518282005,0.7986114801128318,0.0003901052474975586,0.003159531063754705,0.92
Rotation (class-cond),9,0.7763800163800165,0.7736210402333848,0.7791389925266482,0.0004350805282592773,0.003261246095677077,1.0
Rotation (class-cond),10,0.7571498771498771,0.7536070632250328,0.7606926910747215,0.00043012619018554686,0.003429193200896849,1.0
Rotation (class-cond),11,0.7394758394758394,0.7361004566801411,0.7428512222715377,0.00048404455184936524,0.0031692498134827936,1.0
Rotation (class-cond),12,0.7244717444717444,0.7217454280947231,0.7271980608487658,0.0003230428695678711,0.00327320853364804,0.92
